219,5,106,1548889200000
216,2,103,1548889200000
17,3,18,1546297200000
44,5,45,1546297200000
212,3,99,1548889200000
146,2,33,1548889200000
188,4,75,1548889200000
50,1,51,1546297200000
189,5,76,1548889200000
97,3,98,1546297200000
177,3,64,1548889200000
227,3,114,1548889200000
108,4,109,1546297200000
139,5,26,1548889200000
90,1,91,1546297200000
173,4,60,1548889200000
83,4,84,1546297200000
186,2,73,1548889200000
25,1,26,1546297200000
56,2,57,1546297200000
187,3,74,1548889200000
157,3,44,1548889200000
101,2,102,1546297200000
168,4,55,1548889200000
226,2,113,1548889200000
137,3,24,1548889200000
152,3,39,1548889200000
178,4,65,1548889200000
185,1,72,1548889200000
164,5,51,1548889200000
206,2,93,1548889200000
160,1,47,1548889200000
196,2,83,1548889200000
136,2,23,1548889200000
112,3,113,1546297200000
31,2,32,1546297200000
192,3,79,1548889200000
59,5,60,1546297200000
223,4,110,1548889200000
2,3,3,1546297200000
183,4,70,1548889200000
74,5,75,1546297200000
91,2,92,1546297200000
93,4,94,1546297200000
169,5,56,1548889200000
65,1,66,1546297200000
142,3,29,1548889200000
203,4,90,1548889200000
207,3,94,1548889200000
24,5,25,1546297200000
184,5,71,1548889200000
77,3,78,1546297200000
4,5,5,1546297200000
119,5,6,1548889200000
144,5,31,1548889200000
221,2,108,1548889200000
8,4,9,1546297200000
55,1,56,1546297200000
162,3,49,1548889200000
171,2,58,1548889200000
60,1,61,1546297200000
13,4,14,1546297200000
82,3,83,1546297200000
202,3,89,1548889200000
154,5,41,1548889200000
15,1,16,1546297200000
210,1,97,1548889200000
29,5,30,1546297200000
158,4,45,1548889200000
5,1,6,1546297200000
6,2,7,1546297200000
95,1,96,1546297200000
109,5,110,1546297200000
63,4,64,1546297200000
182,3,69,1548889200000
66,2,67,1546297200000
34,5,35,1546297200000
175,1,62,1548889200000
198,4,85,1548889200000
151,2,38,1548889200000
218,4,105,1548889200000
68,4,69,1546297200000
85,1,86,1546297200000
1,2,2,1546297200000
28,4,29,1546297200000
41,2,42,1546297200000
53,4,54,1546297200000
70,1,71,1546297200000
163,4,50,1548889200000
37,3,38,1546297200000
99,5,100,1546297200000
40,1,41,1546297200000
190,1,77,1548889200000
103,4,104,1546297200000
181,2,68,1548889200000
78,4,79,1546297200000
54,5,55,1546297200000
80,1,81,1546297200000
201,2,88,1548889200000
89,5,90,1546297200000
42,3,43,1546297200000
57,3,58,1546297200000
193,4,80,1548889200000
27,3,28,1546297200000
120,1,7,1548889200000
134,5,21,1548889200000
149,5,36,1548889200000
214,5,101,1548889200000
116,2,3,1548889200000
133,4,20,1548889200000
102,3,103,1546297200000
51,2,52,1546297200000
127,3,14,1548889200000
165,1,52,1548889200000
118,4,5,1548889200000
199,5,86,1548889200000
75,1,76,1546297200000
71,2,72,1546297200000
166,2,53,1548889200000
61,2,62,1546297200000
22,3,23,1546297200000
100,1,101,1546297200000
228,4,1,1548889200000
87,3,88,1546297200000
73,4,74,1546297200000
121,2,8,1548889200000
128,4,15,1548889200000
16,2,17,1546297200000
19,5,20,1546297200000
113,4,114,1546297200000
170,1,57,1548889200000
21,2,22,1546297200000
35,1,36,1546297200000
197,3,84,1548889200000
111,2,112,1546297200000
96,2,97,1546297200000
224,5,111,1548889200000
141,2,28,1548889200000
208,4,95,1548889200000
98,4,99,1546297200000
179,5,66,1548889200000
52,3,53,1546297200000
106,2,107,1546297200000
213,4,100,1548889200000
107,3,108,1546297200000
26,2,27,1546297200000
117,3,4,1548889200000
205,1,92,1548889200000
38,4,39,1546297200000
145,1,32,1548889200000
220,1,107,1548889200000
204,5,91,1548889200000
92,3,93,1546297200000
122,3,9,1548889200000
140,1,27,1548889200000
81,2,82,1546297200000
88,4,89,1546297200000
215,1,102,1548889200000
49,5,50,1546297200000
131,2,18,1548889200000
155,1,42,1548889200000
48,4,49,1546297200000
172,3,59,1548889200000
64,5,65,1546297200000
43,4,44,1546297200000
20,1,21,1546297200000
115,1,2,1548889200000
46,2,47,1546297200000
114,5,1,1546297200000
36,2,37,1546297200000
23,4,24,1546297200000
30,1,31,1546297200000
7,3,8,1546297200000
225,1,112,1548889200000
180,1,67,1548889200000
11,2,12,1546297200000
194,5,81,1548889200000
110,1,111,1546297200000
161,2,48,1548889200000
69,5,70,1546297200000
211,2,98,1548889200000
10,1,11,1546297200000
126,2,13,1548889200000
174,5,61,1548889200000
209,5,96,1548889200000
105,1,106,1546297200000
130,1,17,1548889200000
191,2,78,1548889200000
143,4,30,1548889200000
47,3,48,1546297200000
12,3,13,1546297200000
176,2,63,1548889200000
58,4,59,1546297200000
67,3,68,1546297200000
86,2,87,1546297200000
138,4,25,1548889200000
72,3,73,1546297200000
153,4,40,1548889200000
200,1,87,1548889200000
76,2,77,1546297200000
150,1,37,1548889200000
62,3,63,1546297200000
124,5,11,1548889200000
148,4,35,1548889200000
104,5,105,1546297200000
217,3,104,1548889200000
32,3,33,1546297200000
195,1,82,1548889200000
33,4,34,1546297200000
39,5,40,1546297200000
3,4,4,1546297200000
94,5,95,1546297200000
222,3,109,1548889200000
167,3,54,1548889200000
14,5,15,1546297200000
84,5,85,1546297200000
135,1,22,1548889200000
132,3,19,1548889200000
123,4,10,1548889200000
156,2,43,1548889200000
147,3,34,1548889200000
129,5,16,1548889200000
9,5,10,1546297200000
79,5,80,1546297200000
125,1,12,1548889200000
45,1,46,1546297200000
18,4,19,1546297200000
159,5,46,1548889200000
