1,36,1
1,61,1
2,23,2
5,90,1
4,105,2
2,88,2
4,44,1
3,3,1
1,11,1
2,48,2
4,59,1
5,76,2
2,67,1
4,25,2
2,107,1
1,52,2
3,79,2
3,69,2
3,114,2
1,21,1
3,78,1
2,38,2
2,98,2
5,51,2
3,39,2
1,42,2
5,41,2
5,6,2
3,48,1
2,93,2
4,9,1
5,15,1
2,52,1
2,78,2
4,110,2
4,60,2
1,26,1
1,2,2
3,63,1
3,94,2
1,47,2
3,104,2
2,28,2
5,20,1
5,35,1
3,53,1
1,106,1
5,10,1
5,30,1
5,110,1
3,13,1
4,114,1
2,103,2
5,25,1
3,28,1
5,81,2
4,20,2
2,53,2
3,44,2
1,107,2
2,33,2
1,112,2
2,92,1
2,113,2
5,61,2
1,92,2
3,8,1
3,33,1
4,1,2
3,59,2
4,99,1
4,69,1
4,10,2
2,58,2
1,76,1
3,73,1
2,97,1
1,12,2
5,91,2
2,37,1
2,43,2
3,89,2
4,95,2
1,66,1
5,5,1
1,32,2
3,38,1
5,75,1
3,54,2
5,60,1
5,111,2
1,56,1
3,99,2
5,106,2
1,81,1
5,21,2
2,108,2
1,6,1
3,98,1
1,17,2
5,95,1
2,72,1
1,46,1
3,64,2
3,93,1
4,64,1
1,22,2
4,49,1
5,31,2
1,82,2
5,105,1
2,42,1
2,77,1
5,101,2
2,13,2
1,31,1
4,65,2
3,109,2
1,27,2
2,83,2
5,71,2
4,30,2
5,66,2
3,4,2
3,29,2
2,8,2
4,40,2
3,49,2
5,65,1
1,91,1
2,32,1
2,87,1
4,75,2
2,57,1
3,19,2
4,80,2
3,58,1
5,50,1
2,18,2
2,82,1
4,19,1
3,18,1
3,88,1
5,70,1
2,17,1
4,109,1
4,85,2
2,2,1
5,96,2
2,62,1
4,89,1
2,112,1
1,86,1
2,27,1
5,16,2
1,67,2
3,103,1
2,22,1
2,63,2
1,41,1
1,72,2
4,14,1
1,57,2
4,54,1
5,100,1
5,11,2
5,36,2
4,79,1
2,12,1
4,100,2
1,97,2
3,9,2
1,87,2
5,46,2
4,34,1
3,113,1
4,94,1
3,108,1
5,45,1
1,71,1
1,7,2
4,90,2
4,50,2
4,84,1
1,102,2
5,56,2
2,68,2
4,15,2
1,111,1
4,5,2
5,26,2
3,24,2
2,73,2
1,101,1
2,7,1
1,16,1
3,84,2
4,24,1
4,70,2
4,4,1
5,80,1
4,74,1
4,55,2
2,102,1
4,104,1
5,40,1
5,1,1
1,37,2
3,14,2
2,3,2
4,45,2
3,74,2
3,83,1
1,96,1
4,39,1
5,55,1
4,29,1
3,34,2
4,35,2
5,86,2
3,68,1
3,23,1
2,47,1
3,43,1
1,62,2
1,77,2
1,51,1
5,85,1
